dan	etp	rr	tmin	tmax	tpov	tmin5
1	0.5	13.8	3.9	7.5	6.0	0.3
2	0.8	29.4	6.0	14.5	9.3	3.1
3	1.1	0.2	5.4	15.7	11.4	0.9
4	0.8	0.1	11.2	16.1	13.1	9.4
5	1.5	14.6	6.4	19.1	12.2	11.8
6	0.4	13.8	3.9	7.5	6.0	0.3
7	0.4	7.1	3.5	10.5	5.8	0.0
8	0.5	0.0	1.8	11.0	7.1	2.3
9	0.6		2.2	14.4	6.5	-1.6
10	0.5		3.6	8.1	6.7	-1.3
11	0.6	0.3	7.1	13.3	10.4	3.6
12	0.5	3.9	11.0	14.3	12.6	9.0
13	0.5	7.3	10.1	12.2	10.8	9.7
14	0.9		7.4	11.0	8.4	6.5
15	0.6		5.0	8.6	7.3	1.5
16	0.6		6.4	7.9	7.1	5.7
17	0.5		4.5	10.6	6.0	0.4
18	0.4		1.1	7.5	5.3	-0.5
19	0.4	5.4	6.4	10.3	8.6	5.9
20	0.6	0.0	8.2	10.3	8.9	7.0
21	0.4	0.0	7.4	9.1	8.5	6.8
22	0.5	0.0	8.4	11.0	9.5	7.6
23	0.4	4.4	8.5	10.4	9.5	8.0
24	0.4		6.6	11.7	8.3	6.8
25	0.7		6.2	14.2	11.0	1.8
26	0.8	0.3	9.8	13.5	12.1	9.1
27	1.2	0.2	11.2	15.3	12.6	10.3
28	0.4	32.9	10.1	12.7	11.7	9.3
29	0.5	17.6	7.0	12.2	7.8	3.5
30	0.3	4.4	2.9	7.0	3.3	3.2
